Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,01/09/18,Real Madrid,Leganes,4,1,H,1,1,D,17,8,8,3,11,11,8,1,1,1,0,0,1.12,9,21,1.12,8.75,23,1.12,9,20,1.13,9.73,25.14,1.1,9.5,21,1.11,10,31,41,1.14,1.12,10.3,9.31,31,23.88,34,1.38,1.33,3.4,3.23,21,-2.5,2.01,1.94,1.96,1.91,1.16,8.67,22.29
SP1,02/09/18,Alaves,Espanol,2,1,H,0,1,A,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54,2.85,3.1,2.65,2.7,3.1,2.8,2.93,3.16,2.71,2.88,3.2,2.5,2.9,3.1,2.6,39,3.06,2.91,3.2,3.08,2.8,2.63,34,2.71,2.56,1.56,1.5,20,0.25,1.74,1.7,2.28,2.2,3.19,3.25,2.47
SP1,02/09/18,Barcelona,Huesca,8,2,H,3,2,H,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11,29,1.06,12,36,1.07,13,26,1.09,13.22,30.82,1.05,13,34,1.06,13,41,41,1.1,1.07,15,12.43,52,33.38,35,1.24,1.21,4.7,4.3,21,-3,1.98,1.93,1.97,1.92,1.07,14.91,36.03
SP1,02/09/18,Betis,Sevilla,1,0,H,0,0,D,11,8,3,2,15,17,5,8,3,6,0,1,2.8,3.5,2.45,2.8,3.5,2.45,2.8,3.4,2.5,2.77,3.87,2.46,2.7,3.5,2.5,2.7,3.75,2.4,41,2.86,2.75,3.87,3.62,2.54,2.44,37,1.62,1.58,2.46,2.36,20,0.25,1.79,1.75,2.19,2.13,2.84,3.6,2.53
SP1,02/09/18,Levante,Valencia,2,2,D,2,1,H,13,18,4,5,14,10,3,5,4,2,1,0,3.75,3.4,2,3.7,3.3,2.1,3.4,3.3,2.2,3.61,3.59,2.13,3.4,3.6,2.05,3.6,3.6,2.1,41,3.8,3.51,3.69,3.5,2.2,2.09,39,1.91,1.82,2.07,1.99,21,0.25,2.11,2.06,1.85,1.81,3.6,3.54,2.15
SP1,14/09/18,Huesca,Vallecano,0,1,A,0,1,A,14,14,4,2,16,18,6,3,2,1,0,0,2.14,3.5,3.4,2.1,3.6,3.4,2.2,3.55,3.2,2.26,3.57,3.3,2.2,3.5,3.1,2.2,3.7,3.3,36,2.3,2.2,3.7,3.51,3.41,3.28,33,1.93,1.85,2.09,1.96,19,-0.25,1.95,1.91,2.01,1.96,2.43,3.41,3.13
SP1,15/09/18,Ath Bilbao,Real Madrid,1,1,D,1,0,H,11,16,3,6,18,6,1,2,6,2,0,0,6,4.33,1.53,5.5,4.4,1.57,5.2,4.45,1.57,5.46,4.7,1.58,5,4.5,1.57,5.75,4.5,1.57,39,6,5.47,4.7,4.46,1.6,1.57,38,1.53,1.48,2.71,2.59,23,1,1.99,1.94,1.95,1.91,6.5,4.43,1.53
SP1,15/09/18,Ath Madrid,Eibar,1,1,D,0,0,D,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12,1.36,4.6,10,1.35,4.7,10,1.36,4.78,11.13,1.36,4.5,9,1.4,4.75,9.5,39,1.41,1.37,4.82,4.56,12,10.12,38,2.1,2.03,1.85,1.79,23,-1.25,2,1.94,1.98,1.92,1.42,4,12.96
SP1,15/09/18,Sociedad,Barcelona,1,2,A,1,0,H,8,12,5,6,18,8,1,6,1,1,0,0,7,5.25,1.4,7,5.25,1.4,6.5,4.7,1.45,7.05,5.46,1.41,6,4.8,1.44,7.5,5.25,1.4,39,7.5,6.8,5.46,5.08,1.48,1.42,30,1.48,1.44,2.88,2.72,23,1.25,2.04,1.98,1.95,1.88,8.62,5.22,1.38
SP1,15/09/18,Valencia,Betis,0,0,D,0,0,D,12,11,2,6,22,9,5,4,6,3,0,0,1.75,3.75,4.75,1.75,3.9,4.5,1.7,3.75,5,1.75,4.06,4.72,1.75,3.75,4.4,1.75,3.9,4.8,39,1.8,1.75,4.06,3.84,5,4.65,38,1.76,1.71,2.25,2.13,22,-0.75,2,1.94,1.96,1.91,1.7,4.22,4.95
