Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,25/08/18,Graafschap,Groningen,0,1,A,0,1,A,10,12,4,3,10,13,7,3,2,3,0,0,2.9,3.3,2.37,2.95,3.3,2.45,2.7,3.45,2.35,2.84,3.58,2.45,2.7,3.5,2.3,2.75,3.6,2.45,41,2.95,2.76,3.7,3.47,2.6,2.41,35,1.74,1.68,2.23,2.14,18,0,2.11,2.04,1.87,1.81,2.61,3.67,2.65
N1,25/08/18,NAC Breda,Excelsior,0,2,A,0,1,A,12,10,3,3,7,13,3,3,3,2,0,0,2,3.5,3.6,2.05,3.7,3.4,1.97,3.5,3.5,2,3.68,3.71,1.95,3.6,3.3,2,3.6,3.7,41,2.07,1.99,3.72,3.55,3.75,3.5,37,1.8,1.74,2.17,2.06,18,-0.5,2.05,2,1.9,1.85,1.99,3.73,3.79
N1,25/08/18,Zwolle,PSV Eindhoven,1,2,A,0,1,A,18,15,5,6,11,8,6,6,1,2,0,0,6,4.5,1.5,6,4.75,1.48,5.4,4.5,1.5,5.99,4.88,1.5,5.5,4.6,1.44,6,4.6,1.5,41,6.13,5.72,5,4.59,1.54,1.49,34,1.53,1.48,2.7,2.55,19,1.25,1.84,1.76,2.19,2.08,6.91,5.2,1.44
N1,26/08/18,AZ Alkmaar,Vitesse,0,0,D,0,0,D,18,13,3,3,13,14,6,4,3,3,0,0,1.66,4,4.75,1.72,4,4.5,1.67,4.2,4.15,1.7,4.56,4.27,1.62,4.33,4.2,1.67,4.33,4.5,41,1.74,1.68,4.56,4.2,4.75,4.29,35,1.47,1.43,2.85,2.71,19,-1,2.23,2.15,1.75,1.71,1.79,4.24,4.27
N1,26/08/18,Heerenveen,Feyenoord,3,5,A,0,3,A,13,13,5,6,8,8,5,4,0,0,0,0,4.33,4,1.7,4.2,4,1.78,4.1,3.95,1.7,4.05,4.44,1.76,4,4.2,1.67,4.4,4.1,1.73,41,4.4,4.1,4.44,4.05,1.85,1.74,35,1.64,1.59,2.41,2.28,19,0.75,1.96,1.9,1.98,1.94,4.43,3.89,1.82
N1,26/08/18,Utrecht,VVV Venlo,1,1,D,1,0,H,21,11,4,2,12,10,3,0,1,1,0,0,1.5,4.33,6,1.53,4.33,6,1.53,4.2,5.2,1.55,4.41,5.93,1.5,4.4,5,1.53,4.4,5.75,41,1.57,1.53,4.47,4.28,6,5.59,35,1.62,1.58,2.38,2.31,20,-1,1.95,1.9,2.02,1.94,1.51,4.4,6.81
N1,26/08/18,Willem II,Heracles,5,0,H,3,0,H,13,6,7,3,11,14,4,4,2,1,0,0,2.1,3.5,3.3,2.15,3.7,3.2,2.2,3.5,2.9,2.31,3.57,3.05,2.2,3.6,2.8,2.25,3.6,3.1,41,2.31,2.21,3.7,3.54,3.3,3,35,1.63,1.59,2.36,2.28,19,-0.25,2.01,1.95,1.94,1.88,2.21,3.74,3.2
N1,31/08/18,FC Emmen,Graafschap,1,1,D,0,0,D,26,13,11,6,9,12,13,1,1,3,0,0,2.14,3.5,3.2,2.2,3.6,3.1,2.1,3.55,3.05,2.2,3.75,3.17,2.2,3.7,2.9,2.2,3.7,3.1,40,2.23,2.18,3.75,3.58,3.25,3.1,37,1.72,1.66,2.28,2.2,21,-0.25,1.96,1.92,1.98,1.93,2.32,3.69,2.98
N1,01/09/18,Excelsior,Den Haag,2,4,A,0,2,A,13,16,4,7,12,14,4,6,1,3,0,0,2.37,3.3,2.9,2.45,3.4,2.9,2.35,3.4,2.75,2.43,3.53,2.9,2.38,3.5,2.75,2.45,3.5,2.88,39,2.5,2.39,3.56,3.42,2.93,2.84,35,1.76,1.7,2.25,2.11,19,-0.25,2.13,2.09,1.81,1.78,2.8,3.58,2.53
N1,01/09/18,For Sittard,Utrecht,1,1,D,0,0,D,9,14,2,5,13,14,6,6,2,0,0,0,3.75,3.6,1.9,3.75,3.7,1.95,3.6,3.6,1.9,3.83,3.75,1.95,3.6,3.75,1.91,3.75,3.75,1.93,39,3.83,3.67,3.8,3.65,2.05,1.93,34,1.7,1.64,2.28,2.2,18,0.25,2.26,2.18,1.75,1.69,3.56,3.86,2.03
